id,star_rating,location,datetime,content,reviewYear,reviewYearMonth,rating
60cfb8f9f9f48706707b8f10,5 stars: Excellent,US,2021-06-20 21:54:01+00:00,I had a problem                                    I had a problem. They fixed it fast and were super courteous too!,2021,2021-06,5
60cfab60f9f48706707b88d8,5 stars: Excellent,US,2021-06-20 20:56:00+00:00,Amazing                                    Amazing service,2021,2021-06,5
60cf6daaf9f48703b0f3ad15,5 stars: Excellent,US,2021-06-20 16:32:42+00:00,Amazing customer service                                    Amazing customer service. Very quick and efficient.,2021,2021-06,5
60cf6d5ff9f48703b0f3ace6,5 stars: Excellent,GB,2021-06-20 16:31:27+00:00,"Very quick responses                                    Very quick responses, brilliant customer service Thankyou,",2021,2021-06,5
60cf359bf9f48703b0f388c3,5 stars: Excellent,AU,2021-06-20 12:33:31+00:00,Quick and helpful responses                                    Quick and helpful responses. Replacement hub was posted and received within a week of initial contact including international shipping.,2021,2021-06,5
60cf2baff9f48706707b355b,5 stars: Excellent,US,2021-06-20 11:51:11+00:00,Great service!                                    Great service!! Was emailed back shortly after sending in my problem. New hub shipped and arrived a few days later! Love my Elvies and troubleshooting was easy.,2021,2021-06,5
60cef668f9f48706707b1351,5 stars: Excellent,TT,2021-06-20 08:03:52+00:00,"My double electric hubs suddenly…                                    My double electric hubs suddenly stopped taking charge after approximately 1 year. I contacted the Elvie team and they responded quickly with a number if reasons why and suggestions for me to try. After attempting all, it was still to no avail, they required information as proof of purchase in order to be reimbursed with a new pair of hubs. I couldn’t provide all the required documentation as my original pump was gifted to me. Honesty is really the best policy, I was 100% with the customer service reps and they opted to waive some stuff because of the situation and they sent over new hubs. I must applaud this company for their dynamic customer service and quickness in dealing with my situation. I would highly recommend this brand as you not only get your monies worth with the product but also the service!",2021,2021-06,5
60cef544f9f48706707b12a5,5 stars: Excellent,US,2021-06-20 07:59:00+00:00,The best pump ever                                    I love my elvies and I really love the customer service! Thank you Elvie for make my life easy ❤️❤️,2021,2021-06,5
60cef197f9f48703b0f35d41,5 stars: Excellent,US,2021-06-20 07:43:19+00:00,"Best Customer Service I Had In A Long Time                                    Both of my button rings cracked and broke. The customer service was quick to respond, and was able to identify the part I needed. They overnighted the part and I got it the next day so I could continue use my pump without hardly any delay. Thanks guys awesome customer service!",2021,2021-06,5
60ceb29df9f48703b0f34c42,5 stars: Excellent,US,2021-06-20 03:14:37+00:00,My battery need replacement.                                    My battery need replacement.Elvie got me hubs replaced in 2 days.I cannot be more satisfied.,2021,2021-06,5
