id,star_rating,country,datetime,content,reviewYear,reviewYearMonth,rating
a98cffff-99b6-4ab4-a17f-50e328c1fab3,3 stars: Average,GB,2021-06-21 07:42:01+00:00,The product itself is wonderful                                    The product itself is wonderful & the shipping was as described arrived promptly. They lost two stars only because the support is lack lustre. Haven’t been able to get in touch with anyone for support so far. Very expensive product to have poor support.,2021,2021-06,3
68954bfc-fdcf-4b52-941a-ee74fbad586e,5 stars: Excellent,GB,2021-06-21 05:55:53+00:00,"First class customer service                                    Amazing customer service! I’ve had a few minor issues with pump parts and within hours Elvie had resolved the issue ensuring the parts were resent the next day.They are always very friendly and professional and most importantly very quick to respondThank you Elvie, keep up the great work!",2021,2021-06,5
80a63de8-332e-4187-b766-0e0eb38f3d80,5 stars: Excellent,US,2021-06-21 02:36:02+00:00,"Great and quick customer service                                    Great and quick customer service. Made things as little hassle as possible and gets your problem fixed asap! I’ve dealt with another hands free pump before and they have left me almost a week to have to figure it out while they helped me with my problem in the past. Not Elvie, they are stress free and trusting. Thank you !",2021,2021-06,5
7682ae3d-42cf-413e-9c73-d8d6e9e6313a,5 stars: Excellent,US,2021-06-21 01:36:09+00:00,Customer service was great                                    Customer service was great. Super helpful and worked hard to help get my pump working.,2021,2021-06,5
3f6d376d-8dec-4894-beb6-57a68956d924,5 stars: Excellent,US,2021-06-21 01:16:37+00:00,My heart dropped                                    Once I realized my Elvie was messing up; my heart dropped… I wasn’t hopeful when I reached out to Elvie online but boy was I wrong! I woke up to a email response asking for more information and my the end of the short and easy conversation I was being shipped a new hub free of charge. This process was easy and fast and I received my replacement the next day with all I needed to ship the faulty Elvie back. Thank you Elvie! I’m so glad I chose Elvie for my exclusive pumping journey this go around!,2021,2021-06,5
29f3de66-56e2-4fde-8b44-f88ace3028b4,5 stars: Excellent,US,2021-06-20 21:54:01+00:00,I had a problem                                    I had a problem. They fixed it fast and were super courteous too!,2021,2021-06,5
75fbce60-0b95-43f9-b281-fecaadfe76d5,5 stars: Excellent,US,2021-06-20 20:56:00+00:00,Amazing                                    Amazing service,2021,2021-06,5
6b327aef-410d-41b7-a092-bb34567e7e1d,5 stars: Excellent,US,2021-06-20 16:32:42+00:00,Amazing customer service                                    Amazing customer service. Very quick and efficient.,2021,2021-06,5
f4b8e4cb-1cc7-48aa-a44a-5c67d214e179,5 stars: Excellent,GB,2021-06-20 16:31:27+00:00,"Very quick responses                                    Very quick responses, brilliant customer service Thankyou,",2021,2021-06,5
454a20f3-a9df-49d7-b5e7-c0649734c9c0,5 stars: Excellent,AU,2021-06-20 12:33:31+00:00,Quick and helpful responses                                    Quick and helpful responses. Replacement hub was posted and received within a week of initial contact including international shipping.,2021,2021-06,5
